Letter,Abbreviation,Definition
H,HSSDC, High Speed Serial Direct Connect
H,HSSI,High Speed Serial Interface
H,HSUPA, High-Speed Uplink Packet Access 
H,HSV,X
H,HT," Hyper-Threading
 HyperTransport"
H,HTC,formerly High Tech Computer Corporation
H,HTM,X
H,HTML,X
H,HTML5,HyperText Markup Language 5
H,HTT,Hyper-Threading Technology
H,HTTP,HyperText Transport Protocol
H,HTTPS,HTTP over SSL
H,HUD, Head Up Display
H,HURSE,Hasp Unit Record SErvice
H,HWS,high watermark setup
H,HXRC,Hitachi Extended Remote Copy
H,Hactivism ,"from ""hack"" and ""activism"" "
H,HiFD,HIgh-capacity Floppy Disk
H,HiPerLinks,High-Performance Links
H,HighMAT,High-performance Media Access Technology
H,Hiperspace,High-Performance Space
H,Honeynet,A network of honeypots. 
H,Hz,hertz
H,h-menu,Hierarchical menu
I,I-DEAS,Integrated-Design Engineering Analysis Software 
I,I-PNNI,Integrated Private Network-Network Interface
I,I/O,Input/Output
I,I2,Internet2
I,I2C,Inter-Integrated Circuit
I,IA-32/64,Intel Architecture - 32/64
I,IAB,Internet Architecture Board (previous Internet Activities Board)
I,IAD,integrated access device
I,IAM,Identity and Access Management 
I,IANA, Internet Assigned Numbers Authority 
I,IAP,Internet Access Provider
I,IAS,Internet Authentication Service
I,IAT,Inside Air Temperature
I,IB,Interface Bus
I,IBG,interblock gap
I,IBM,International Business Machines
I,IBO,industry business unit 
I,IBR,intelligent  browser  referencing
I,IBS,"Internet Banking System
          Group"
I,IBSG,"Internet Business Solutions 
          Group"
I,IBT," IntelliLight Broadband Transport
 Internet Based Training"
I,IC," Integrated Circuit
 I see"
I,ICA," Independent Computing Architecture
 International Compliance Association"
I,ICANN,Internet Corporation For Assigned Names and Numbers
I,ICC,Internet Commerce Corporation 
I,ICCs, integration competency centers
I,ICDL,International Computer Driving Licence
I,ICE," in-circuit emulator
 information and content exchange
 Interactive Connectivity Establishment"
I,ICF,Internet Connection Firewall
I,ICI,"  Information-centric infrastructure 
 Interexchange Carrier Interface"
I,ICM,incentive compensation management 
I,ICMP,Internet Control Message Protocol
I,ICMS,incentive compensation management system
I,ICP,Internet Content Provider
I,ICPP,Intel Channel Partner Program
I,ICQ,I Seek You
I,ICRA,Internet Content Rating Association
I,ICS," Incremental Change Synchronization
 Internet Connection Sharing"
I,ICSA,International Computer Security Association
I,ICSI,Institute for Clinical Systems Improvement 
I,ICT,information and communication technology
I,ICU, International Components for Unicode
I,ID,identifier 
I,IDA,(Verizon) Internet Dedicated Access
I,IDARS, integrated document archive and retrieval system
I,IDC,Internet data center
I,IDD,international direct dial / dialing
I,IDE," Integrated Development Environment
 integrated drive electronics"
I,IDEA,International Data Encryption Algorithm
I,IDEMA,International Disk drive Equipment and Materials Association
I,IDIM,"Identity Information 
          Management "
I,IDIOT,Intrusion Detection In Our Time
I,IDIQ,indefinite delivery/indefinite quantity;
I,IDL,Interface Definition Language
I,IDM,Internet Download Manager  
I,IDOL,Intelligent Data Operating Layer
I,IDOM,integrated document and output management
I,IDQ,Informatica Data Quality
I,IDR, Intelligent Disaster Recovery
I,IDS,intrusion detection system
I,IDT,(originally) International Discount Telecommunications
I,IDU,interface data unit
I,IE,Internet Explorer
I,IEC," Inter-exchange Carrier
 International Electrotechnical Commission"
I,IEE,Institution of Electrical Engineers
I,IEEE,Institute of Electrical and Electronics Engineers
I,IES,Integrated Environmental Solutions
I,IETF,Internet Engineering Task Force
I,IFB,Internet Free/Busy
I,IFL,Integrated Facility for Linux
I,IFRS,International Financial Reporting Standards
I,IGF,Internet Governance Forum
I,IGMP,Internet Group Management Protocol
I,IGP,interior gateway protocol
I,IGRP,Interior Gateway Routing Protocol
I,IGS,IBM Global Services
I,IHS,Integrated Heat Spreader
I,IHV,Independent hardware vendor
I,IIOP,Internet  Inter-ORB  Protocol
I,IIS,Internet Information Server
I,IKE,Internet Key Exchange
I,ILEC, Independent  Local Exchange Carrier
I,ILEs,Immersive learning environments
I,ILM," IBM License Manager
 Information Lifecycle Management"
I,ILP,initial loader program
I,IM," Identity Management
 Instant Messaging"
I,IMAC,"installations, moves, adds and changes"
I,IMAP,Internet Message Access Protocol
I,IMAPI,Image Mastering Application Programming Interface
I,IMC," Intelligent Management 
          Center
 Internet Mail Consortium "
I,IME,Input Method Editor
I,IMEI,International Mobile Equipment Identifier
I,IMS," Information Management                                                     System
 IP multimedia systems"
I,IMSI,International Mobile Subscriber Identity
I,IMUX,Inverse Multiplexer
I,INAP,Intelligent Network Application Protocol
I,INC,International Network of Crackers 
I,INI file,initialization file
I,INTAP,Interoperability Technology Association for Information Processing
I,IOA,input/output adapter 
I,IOCA,Image Object Content Architecture
I,IOD,in-order delivery
I,IOM,Integrated Object Model
I,IONL,Internal Organization of the Network Layer
I,IOP,Interoperability
I,IOPS,Input/Output operations per second
I,IOS,"international operator services (IOS Telecom)
Internetwork Operating System"
I,IOTP,Internet Open Trading Protocol 
I,IP," Intellectual Property
 Internet Protocol "
I,IP PBX,Internet Protocol private branch exchange
I,IP address,Internet Protocol address
I,IP number,Internet Protocol number
I,IP telephony,Internet Protocol telephony
I,IPA,intelligent process automation
I,IPAM," Intellectual property asset management 
 IP Address Management"
I,IPC,interprocess communication
I,IPL,initial program load
I,IPLC,X
I,IPM,Internetwork Performance Monitor
I,IPMX,IP management exchange 
I,IPP, Internet Printing Protocol
I,IPPP,Internet presence provider and promoter
I,IPR,Intellectual Property Rights
I,IPRM,intellectual property rights management
I,IPRR, Intellectual property rights and royalties
I,IPS,intrusion prevention system
I,IPSec,IP Security 
I,IPT,"  Identity Protection Technology 
 IP telephony "
I,IPTV,Internet Protocol Television
I,IPX,Internetwork Packet Exchange
I,IPv4,"Internet Protocol, version 4"
I,IPv6,Internet Protocal version 6
I,IPv6CP,IPv6 PPP Control Protocol
I,IR," InfraRed
 Internet Registry"
I,IRC,Internet Relay Chat
I,IRF, Intelligent Resilient Framework
I,IRP,I/o Request Packet
I,IRQ,Interrupt Request
I,IRS,Interrupt Source
I,IRTF, Internet Research Task Force
I,IRU,Indefeasible Right of Use 
I,IS,Information Systems
I,IS-IS,Intermediate-System-to-Intermediate-System
I,ISA," Industry Standard Adapter
 Internet Security and Acceleration"
I,ISACA,Information Systems Audit and Control Association
I,ISAM,Indexed Sequential Access Method
I,ISATAP,Intra-Site Automatic Tunnel Addressing Protocol
I,ISC,Internet Software Consortium
I,ISDN,Integrated Services Digital Network
I,ISIS,Image and Scanner Interface Specification
I,ISL,inter-switch link
I,ISM," industrial, scientific and medical "
I,ISN,Initial Sequence Numbers
I,ISO, International Organization for Standardization
I,ISOC,Internet SOCiety
I,ISP,Internet Service Provider
I,ISR,interrupt service routine
I,ISS,Internet Security Systems
I,ISSAC,Information System for Advanced Academic Computing
I,ISTG,InterSite Topology Generator
I,ISUP,ISDN User Part
I,ISV,independent software vendor
I,IT,Information Technology 
I,ITAD,IT asset disposition
I,ITAM,IT asset management
I,ITC,IT consolidation
I,ITCAM,IBM Tivoli Composite Application Monitoring
I,ITCM,IT Change Management
I,ITCS,Intermodal Transport Control System
I,ITIL,Information Technology Infrastructure Library
I,ITL, Instructional Technology Lab
I,ITLA,Incremented Three Letter Acronym 
I,ITO,IT outsourcing
I,ITOM,IT operations management
I,ITU,International Telecommunication Union
I,ITWAB,IT Workload Automation Broker Tools 
I,ITXC,Internet Telephony Exchange Carrier
I,ITeS,Information Technology Enabled Services
I,IVANS,International Value Added Network Services
I,IVDT,Integrated Voice and Data Terminal
I,IVIS,in-vehicle information system
I,IVR,interactive voice response
I,IXC,Interexchange Carrier
I,IXS,Integrated xSeries Server
I,IaaS,integration as a service
I,InfoSec,Information Security 
I,Inmarsat ,International Maritime Satellite Organization
I,Intel,INTegrated ELectronics
I,InterNIC,Internet Network Information Center
I,IoS,Internet over Satellite
I,IoT, Internet of Things
I,IÂ²C,Inter-Integrated Circuit
I,iAMT,Intel Active Management Technology
I,iDEN,integrated digital enhanced network
I,iDTV,Interactive digital television
I,iFCP,Internet Fibre Channel Protocol
I,iFrame,inline frame
I,iGEMS,Integrated Global Enterprise Management System
I,iLO,Integrated Lights-Out
I,iODBC,Independent Open DataBase Connectivity
I,iOS,iPhone OS
I,iRMC,Integrated Remote Management Controller
I,iSCSI,Internet SCSI
J,J-code,Japan code
J,J2EE,"Java 2 Platform, Enterprise Edition"
J,J2ME,"Java 2 platform, Micro Edition"
J,J2SE,"Java 2 platform, Standard Edition"
J,JAAS,Java Authentication and Authorization Service
J,JACK,JACK Audio Connection Kit 
J,JAD, joint application development
J,JAMES,Java Apache Mail Enterprise Server
J,JAR,Java Archive
J,JBIG,Joint Bi-level Image experts Group
J,JBL,Jame B. Lansing
J,JBOD,Just a Bunch of Disks 
J,JCA,"Java 
          Connector Architecture"
J,JCAHO,Joint Commission on Accreditation of Healthcare Organizations
J,JCB,job control block
J,JCL,Job Control Language
J,JCP,Java Community Process
J,JDBC, Java DataBase Connectivity
J,JDK,Java Development Kit
J,JEDEC,Joint Electronic Devices Engineering Council
J,JES,Job Entry Subsystem
J,JFK,Just Fast Keying 
J,JFS,Journaling File System
J,JIA,Joint Innovation Assessment
J,JIT,Just-in-time
J,JITA,Just In Time Activation
J,JITT,just-in-time training
J,JJ,Josephson Junction
J,JMS,"Java 
          Messaging Service"
J,JMX,"Java 
          Management eXtensions"
J,JNI,Java Native Interface
J,JOA,Joint Opportunity Assessment
J,JOLAP,Java Interface for OLAP
J,JPDL,jBoss process definition language
J,JPEG,X
J,JPG,X
J,JRE,Java Runtime Environment
J,JS,JavaScript
J,JSON,JavaScript Object Notation
J,JSP,Java Server Page
J,JSR,"Java 
          Specification Request"
J,JTAG,Joint Test Action Group
J,JTC,Join Transitive Closure
J,JTC1,Joint Technical Committee 
J,JTRS,Joint Tactical Radio System
J,JVM,Java virtual machine
J,JVT,job volume table
K,KBE,knowledge-based engineering
K,KBMS,KeyBoard/MouSe
K,KBS,Knowledge-Based System
K,KBW,keyboard wedge
K,KCC,Knowledge Consistency Checker
K,KDC, Key Distribution Center
K,KDD,Knowledge Discovery in Databases
K,KDE,K Desktop Environment
K,KDSI,thousand (K) Delivered Source Instructions
K,KGD,Known Good Die
K,KIPS,Thousands of instructions per second
K,KIS,Knowbot Information Service
K,KISS,"Keep It Simple, Stupid"
K,KLOC,thousands of lines of code
K,KM,knowledge management
K,KML,Keyhole Markup Language
K,KMS," Key Management Server
 Knowledge Management System"
K,KNI,Katmai New Instructions
K,KOLs,Key opinion leaders
K,KPCMS,Kodak Precision Color Management System
K,KPI,key performance indicator
K,KPN,(formerly) Koninklijke PTT Nederland
K,KPO,Knowledge Processing Outsourcing 
K,KSAM,Keyed Sequential Access Method
K,KSR,Keyboard Send/Receive
K,KSU,Key Service Unit
K,KTM,kernel transaction manager
K,KTS,Key Telephone System
K,KUIP,Kernel User Interface Package
K,KVA,Kilo Volt Amp
K,KVM," K Virtual Machine
 Keyboard, Video, and Mouse"
K,KWH,KiloWatt Hour
K,KYC,Know Your Customer 
K,Kb,Kilobit
K,Kbps,Kilobits Per Second
K,KiB,kibibyte 
K,k,kilo
K,k-map,knowledge map
K,kB,Kilobyte
K,kW,kilowatt
K,kaid,Kai console daemon
K,keychan,Key changer
K,keygen,Key Generator
K,keylogging,keystroke logging 
K,knowbot,Knowledge robots
K,ksh,Korn shell
L,L1,X
L,L2 cache,X
L,L2CAP,Logical Link and Control Adaptation                                                   Protocol
L,L2F,Layer 2 Forwarding
L,L2S,Layer 2 Switch
L,L2TP,Layer 2 Tunneling Protocol
L,L3F,Layer 3 Forwarding
L,L3S,Layer 3 Switch
L,L3TP,Layer Three Tunneling Protocol
L,LA,Load Address
L,LAC,L2tp Access Concentrator
L,LACNIC,Latin American and Caribbean Internet Addresses Registry
L,LACP,Link Aggregation Control Protocol
L,LADDR,Layered Device Driver
L,LAI,Location Area Identity 
L,LAIPE,Link And In Parallel Execute
L,LAMP,"Linux, Apache, MySQL and PHP"
L,LAN,Local Area Network
L,LANE,Local Area Network Emulation
L,LAPD,Link Access Procedures on the D channel
L,LAS,logical application structure
L,LASINT,laser intelligence
L,LAT,Local Address Table
L,LATA,Local Access and Transport Area
L,LBA,Logical Block Addressing
L,LBAC,label-based access control
L,LBG,load balancing group
L,LBO,line buildout
L,LBS,Location-based service
L,LCC,Limited combustible cable
L,LCD,liquid crystal display
L,LCI,local component installer
L,LCM,Life Cycle Management
L,LCN,local communication network
L,LCO,language context object
L,LCOS,Liquid Crystal On Silicon
L,LCP,Link Control Protocol
L,LCR," least cost routing 
 Lifetime Clinical Record
   Line Concentration Ratio
  Local Continuous Replication"
L,LCS,"  Liquid Cooling System 
  Live 
              Communications Server"
L,LD,Laser Disc
L,LDA, Local delivery agent
L,LDAP,Lightweight Directory Access Protocol
L,LDCM,LANDesk Client Manager
L,LDIF,LDAP Data Interchange Format
L,LDM,limited distance modem
L,LDP,Label Distribution Protocol
L,LDPC,low-density parity-check code
L,LDR,Light Dependent Resistor
L,LDS,logical data stream
L,LDT,Lightning Data Transfer (Bus)
L,LEAP,Lightweight Extensible Authentication Protocol 
L,LED,light-emitting diode
L,LEED,Leadership in Energy and Environmental Design
L,LEL,"Link, Embed and Launch-to-edit"
L,LEO,Low Earth Orbit 
L,LER,Label Edge Router
L,LF, Line Feed
L,LFB,look-ahead-for-busy
L,LFS,Linux From Scratch
L,LGA,Land Grid Aray
L,LGPL,Lesser General Public License (GNU)
L,LID,local identifier
L,LIDE,Light emitting diode In-Direct Exposure
L,LIFO,"last in, first out"
L,LINAC,Linear Accelerator
L,LION,Lower Indian Ocean Network
L,LIP, Loop Initialization Process
L,LIPS,Logical Inferences Per Second
L,LIS,Laboratory information system
L,LKM,Loadable Kernel Modules
L,LL,local loop
L,LLC,Logical Link Control
L,LLCC,X
L,LLDP,Link Layer Discovery Protocol
L,LLDP-MED ,Link Layer Discovery Protocol-Media Endpoint Discovery
L,LLI," Low Latency Interrupts 
 Lower Layer Interface"
L,LLTD,Link Layer Topology Discovery
L,LLU,local loop unbundling
L,LMA,Lightspeed Memory Architecture
L,LMDS,Local Multipoint Distribution Services
L,LMP,Link Manager Protocol 
L,LMPP,Lighttpd/MySQL/PHP/Python
L,LMS,Learning Management System
L,LNA," launch numerical aperture
 Low Noise Amplifier"
L,LNIB,"like new, in box"
L,LNO,Loop Nest Optimization
L,LNP,Local Number Portability
L,LNS,L2tp Network Server
L,LOB,Line-of-Business 
L,LOC,Lines of Code
L,LOCK,local object creator and killer 
L,LODA,Lombardi On-Demand Assistance
L,LOFS,LOopback File System
L,LOM,LAN On Motherboard
L,LOS," Line of Sight 
 Loss of signal "
L,LP,X
L,LPA," Linear Power Amplifier
 link pack area "
L,LPAR,X
L,LPB,Low Ping Bastard
L,LPC," Linear Predictive Coding
 Local Procedure Call"
L,LPD,line printer daemon
L,LPDA,Link Problem Determination Aid
L,LPF," League for Programming Freedom
 Low-Pass Filter"
L,LPFM,low-power FM radio 
L,LPI," lines per  inch
 Linux Professional Insitute"
L,LPP, Land Pre-Pits
L,LPPL,Latex Project Public License
L,LPR,line printer requester
L,LPT, line print terminal 
L,LPTV,low-power television 
L,LPWA,Lucent Personalized Web Assistant
L,LPX,Low Profile eXtension / Extended
L,LQA,link quality analysis 
L,LQSR,Link Quality Source Routing
L,LR,Lightroom
L,LRC," longitudinal redundancy check
 Loop Resiliency Circuit"
L,LRF,Little Rubber Feet
L,LRN,Location Routing Number
L,LRU,least recently used
L,LS,Loop-Start Signaling
L,LSA,Local Security Authority
L,LSAP,Link Service Access Point
L,LSAS,Local Security Authentication Server
L,LSASS,Local Security Authority Subsystem Service
L,LSB,Least Significant Bit
L,LSH, Locality-Sensitive Hashing
L,LSI,Large Scale of Integration
L,LSM," Linux Software Map
 Local Service Manager"
L,LSP,License Service Provider
L,LSR,local shared resource
L,LSSGR,LATA Switching System Generic Requirements
L,LTC,line traffic coordinator
L,LTE," Lite Terminating Equipment
 Long-Term Evolution"
L,LTF,Leap To Frogans
L,LTM,Local  Traffic  Managers 
L,LTPA,Lightweight Third Party Authentication
L,LTRAN,local transaction
L,LTRS,Letters Shift
L,LTS,Leaning Toothpick Syndrome
L,LU,Logical Unit
L,LU-LU,between two logical units
L,LUF,lowest usable high frequency
L,LUN,logical unit number
L,LUNT,line unit network termination
L,LUS,LookUp Service
L,LUW,logical unit of work
L,LV,X
L,LVD,Low Voltage Differential
L,LVDS,Low Voltage Differential Signaling
L,LVM," Logical Volume Manager
 Low Voltage Differential Signaling"
L,LVOL,X
L,LWL,long wavelength
L,LWP,light-weight process 
L,LZH,Lempel-Ziv-Haruyasu
L,LZW,Lempel Ziv Welch
L,Li-ion,X
L,Lion,X
L,Lisp,List Processor or List Processing
L,Loran,long-range radio navigation
L,l10n,localization
L,laser,light amplification by stimulated emission of radiation
M,M/L,Mobile-to-Land Traffic
M,M2M,"  Manufacturer-to-Manufacturer 
  model-to-model"
M,MAA, Mail access agent
M,MAC,message authentication code
M,MADM,Multiple Appearance Directory Number
M,MAE,Metropolitan Area Exchange and/or Ethernet
M,MAGs,Multichannel access gateways
M,MAID,massive array of idle disks
M,MAN,Metropolitan Area Network
M,MANET,Mobile Ad Hoc Network
M,MAP," Manufacturing Automation Protocol
 Mobile Application Part
 Major Sync Point"
M,MAPI,Messaging Application Programming Interface
M,MAPP,Microsoft Active Protections Program
M,MAPS,Mail Abuse Protection System
M,MARS," Monitoring, Analysis and Response System
 Multicast Address Resolution Server
 Multivariate Adaptive Regression Splines"
M,MAS,Modula-2 Algebra System
M,MASER,Microwave Amplification by Simulated Emission of Radiation
M,MAU," Medium Attachment Unit 
 Multistation Access Unit"
M,MAX,Master  Auxiliary  Correction
M,MBR,Master Boot Record
M,MBS,Maximum Burst Size 
M,MBSA,Microsoft Baseline Security Analyzer
M,MBT,MB Technology
M,MCA," message channel agent 
 Micro Channel Architecture"
M,MCCM,multichannel campaign management 
M,MCI,"Microwave Communications, Inc."
M,MCIF,(IBM) Measured Capability Improvement Framework
M,MCL,Mesh Connectivity Layer 
M,MCM,Multi-Chip Module
M,MCMP,Multi-channel Multi-point
M,MCP," Microsoft Certified Professional 
 Multi-chip package"
M,MCR,Maximum Cell Rate
M,MCSE,Microsoft Certified Systems Engineer
M,MCU,multipoint control unit 
M,MD2/4/5,Message Digest algorithm 2/4/5
M,MDA," model-driven 
          approaches 
 Model-driven architecture "
M,MDB,Message-Driven Beans
M,MDF," Main Distribution Frame
 Medium Density Fiberboard"
M,MDI,Medium Dependent Interface
M,MDIX,medium dependent interface crossover 
M,MDM,"
 master data management
 Meter Data Management "
M,MDP,Mobile Data Protection
M,MDS,Master Data Service
M,MDX,Multidimensional Expressions
M,ME,Millenium Edition 
M,MEMS,micro-electromechanical systems 
M,MEO, Medium/Middle Earth Orbit
M,MERVA,Message Entry and Routing with Interfaces to Various Applications
M,MES," Manufacturing Execution Systems
 Mobile Entertainment Service"
M,MESA,Manufacturing Enterprise Solutions Association
M,MFA,Multifactor authentication 
M,MFC,Microsoft Foundation Class
M,MFD,Multi Function Device
M,MFM,modified frequency modulation
M,MFP,multifunction product
M,MFS,Multi-Function Security
M,MFT," Managed file transfer
 Master File Table"
M,MGAS,mostly global address space 
M,MGC,Media Gateway Controller
M,MIA,Media Interface Adapter
M,MIB,Management Information Base
M,MIC, Message Integrity Check
M,MICR,Magnetic Ink Character Recognition
M,MID-II,Management Information DataBase II
M,MIDI, Musical Instrument Digital Interface
M,MIH,Master Information Hub
M,MII," Medium Independent Interface
 Microsoft/Intel/IBM"
M,MILNET,Military Network
M,MIME,Multipurpose Internet Mail Extensions
M,MIMO,"Multiple Input, Multiple Output"
M,MIP,"Multum in Parvum (Latin) means ""many in one"""
M,MIPS,Millions of Instructions Per Second
M,MIS,management information systems
M,MISRA,Motor Industry Software Reliability                   Association
M,MIT,Massachusetts Institute of Technology 
M,MITM,Man In The Middle
M,ML,Modular Line
M,MLHG,Multi-Line Hunting
M,MLT,Mechanized Loop Test 
M,MMC," Microsoft Management Console
 MutiMedia Card"
M,MMDS," multi-megabit data service
 Multipoint Microwave Distribution System"
M,MMF,Multimode Fiberoptic Cable
M,MMO,X
M,MMOG,X
M,MMORPG, Massive Multiplayer Online Role Playing Game
M,MMR,Modified Modified Read
M,MMS," Microsoft Media Server
 Multimedia Messaging Service"
M,MMU,Memory Management Unit
M,MMX,multimedia extensions
M,MNP,Microcom Networking Protocol
M,MNS," managed network services
 Master of Network Science"
M,MO,Magneto-Optical 
M,MOB,movable object 
M,MODEM,modulator-demodulator
M,MOE,Measures of Effectiveness
M,MOF,Microsoft Operations Framework
M,MOH,Music On Hold
M,MOM,Microsoft Operations Manager
M,MOO,"Mud, Object Oriented"
M,MORPH,(from) metamorphosis
M,MOS,Mean Opinion Score
M,MOSFET,Metal-Oxide-Semiconductor Field-Effect Transistor
M,MOSS,Microsoft Office SharePoint Server 
M,MOTD,message of the day
M,MOV,Merchant of Venice
M,MP3,MPEG Layer 3
M,MPAS,mostly private address space
M,MPEG,Moving Picture Experts Group
M,MPI,Master Patient Index
M,MPIF,Multi-Processor Interconnect Facility
M,MPL,"Mozilla Public License 
Multi-schedule Private Line"
M,MPLS,Multiprotocol Label Switching
M,MPN,Microsoft Partner Network 
M,MPOE,minimum point of entry
M,MPP,massively parallel processing
M,MPPE,Microsoft Point to Point Encryption
M,MPS,managed print services
M,MQ,message queue (formerly)
M,MQT,materialized query table 
M,MRAM,magnetoresistive random access memory
M,MRI,Magnetic Resonance Imaging
M,MRO,"maintenance, repair and operations"
M,MRTG,Multi Router Traffic Grapher
M,MRU,most recently used
M,MS," Microsoft
 Memory Stick"
M,MSA," metropolitan statistical area
 Mobile Sales Assistant 
 Modular Smart Array"
M,MSAP," Microsoft 
          Application Platform"
M,MSB,Most Significant Bit
M,MSBD,Media Stream Broadcast Distribution
M,MSC,Mobile Switching Center
M,MSCS,Microsoft Cluster Server
M,MSDB,main storage database
M,MSDE,Microsoft Data Engine
M,MSDN,Microsoft Developer Network
M,MSDP,Multicast Source Directory Protocol
M,MSE,Microsoft Security Essentials 
M,MSEE,Microsoft Equation Editor
M,MSI," Medium Scale Integration
 Message Signal Interrupts
 MicroSoft Installer
 Micro Star International "
M,MSIL,Microsoft Intermediate Language
M,MSL,Mean Sea Level
M,MSM,Mainframe Service Management 
M,MSMQ,Microsoft Message Queuing
M,MSN,Microsoft Network
M,MSNP,Microsoft Notification Protocol
M,MSO,multiple-system operator
M,MSPP,MultiService Provisioning Platform
M,MSS," Maximum Segment Size
 mobile satellite service"
M,MSSP,X
M,MT-RJ,Mechanical Transfer Registered Jack
M,MTA," Mail Transfer Agent
 message transfer agent
 Multi-Threaded Apartment"
M,MTBF,X
M,MTP,message transfer part
M,MTS,Microsoft Transaction Server
M,MTSO,Mobile Telephone Switching Office
M,MTTF,X
M,MTTR,mean time to repair
M,MTU," maximum transfer unit
 Maximum Transmission Unit"
M,MUA,Mail User Agent
M,MUD,Multi-User Dungeon or Dimension
M,MULTOS,Multi-Application Operating System
M,MUSE,Multi-User Simulated Environment
M,MUX,Multiplexor
M,MVNO,mobile virtual network operator
M,MVS,Multiple Virtual Storage
M,MW,middleware
M,MWE,multiword expression
M,MWI,Mobile Web Initiative
M,MX record,mail exchange record
M,MXF, Material Exchange Format
M,Mac,Macintosh 
M,Malware,Malicious Software
M,MathML,Mathematics  Markup  Language
M,Mb,megabyte
M,Mbps,MegaBits Per Second
M,MiB,mebibyte 
M,MoBo,motherboard
M,MoReq,Model Requirements for the Management of Electronic Records 
M,MoST,mobile solutions terminal
M,Moodle,Modular Object-Oriented Dynamic Learning Environment
M,Mpps,millions of packets per second
M,m-business,mobile business
M,m-commerce,mobile commerce;
M,mAH,milliampere-hour or milliamp-hour 
M,mdisk,managed disk
M,mrouter,multicast / router
M,ms,millisecond
M,multimedia ,multiple forms of media
M,mutex,mutual exclusion
N,NAB,Not A Bug
N,NAC," network access control 
 network attached connection"
N,NACHA,National Automated Clearing House Association
N,NAI,Network Associates Inc.
N,NAK,Negative acknowledgement or not acknowledged
N,NAM,Number Assignment Module
N,NAMPS,Narrowband Advanced Mobile Phone Service 
N,NANAE,News.Admin.Net-Abuse.Email
N,NANOG, North American Network Operators Grou
N,NANP,Identifies the electrical conditions on the circuit.
N,NAP,Network Access Protection 
N,NAPs,X
N,NAS," network access server
 Network Application Support
 network-attached storage"
N,NASDAQ,National Association of Securities Dealers Automated Quotations
N,NASS,Network Attachment Subsystem 
N,NASTRAN,NASA Stress Analysis
N,NAT,Network Address Translation
N,NAV,Norton Anti Virus
N,NAVSTAR,NAVigation Satellite Timing and Ranging
N,NBC,National Broadcasting Company
N,NBSP,Non-Breaking Space
N,NC,Network Computer
N,NCC,Norton Control Center
N,NCCM,Network Configuration and Change Management 
N,NCI,Network Channel Interface 
N,NCP,Network Control Program
N,NCQ,Native Command Queuing
N,NCp,Netware Core Protocol
N,NDC,networked data center
N,NDIS,Network Driver Interface Specification
N,NDM,Network Data Mover
N,NDMP,Network Data Management Protocol
N,NDP,Neighbor Discovery Protocol
N,NDS,Netware Directory Services
N,NDr,Non-Delivery Receipt
N,NEC," National Electric Code
 NEC"
N,NEMs,network equipment manufacturers 
N,NES,Nintendo Entertainment System
N,NETBIOS,network basic input/output system
N,NEWS,Network Extensible Window System
N,NEXT,Near-End Crosstalk
N,NEl,Network Element Layer
N,NF,X
N,NFC, Near-field communication
N,NFF," No Fault Found.
 Notes Flat File"
N,NFI,Near Field Imaging
N,NFS,Network File System
N,NFs,X
N,NGC,Next Generation Communications 
N,NGN,Next-Generation Network
N,NGOSS,"next-generation operational support system 
          solutions "
N,NHIN,Nationwide Health Information Network
N,NHM,Next Human Network
N,NHRP,Next Hop Resolution Protocol
N,NIC," Network Information Center
 Network Interface Card"
N,NICAM,Near Instantaneous Companded Audio Multiplex
N,NICE,"Narrative, Immersive, Collaborative Environment"
N,NID,Network Interface Device
N,NIH,not invented here (syndrome)
N,NILO,Network Interface LOader
N,NIM,Network Interface Module
N,NIP,Non-Impact Printer
N,NIR, Near-Infrared 
N,NIS," Network Information Service
 Norton Internet Security"
N,NIST,National Institute of Standards and Technology
N,NJE,network job entry
N,NLA,Network Location Awareness
N,NLB,Network Load Balancing
N,NLDF,national language dependent function
N,NLM," NetWare Loadable Module
 Network Lifecycle Management"
N,NLO,net-liberated organization
N,NLOS,Near Line OF Sight
N,NLP,Natural language processing
N,NLQ,Near Letter Quality
N,NLS,National Language Support
N,NLSP,Novell Link State Protocol 
N,NLSR,Natural language speech recognition 
N,NMC,Network Management Center 
N,NMI,nonmaskable interrupt
N,NMOS,Negative-channel Metal Oxide Semiconductor
N,NMS,"Network Management Station
Network Monitoring System
"
N,NNI,network-to-network interface
N,NNTP,Network News Transfer Protocol
N,NO,Normally Open
N,NOC,Network Operations Center
N,NOS,Network Operating System
N,NPA,numbering plan area
N,NPC,North Pacific Cable
N,NPDA,Network Problem Determination Application
N,NPI,National Provider Identifier
N,NPL,Netscape Public License
N,NPP,Network Payment Protocol
N,NPSI,nonpartitioned secondary index 
N,NPU,Network Processor
N,NRM,normal response mode
N,NRO,Number Resource Organization
N,NRZ,Non Return to Zero
N,NRZI,Non-Return to Zero Inverted
N,NSA,Network Security Appliance
N,NSFNET,National Science Foundation Network
N,NSI,"Network Solutions, Inc"
N,NSLU2,Network Storage Link for USB 2.0
N,NSLookup,Name Server Lookup
N,NSM,"Network and 
          Security Manager"
N,NSP,Network Service Provider
N,NSR," nonshared resources
 Non-Source Routed"
N,NSS,Network Switching Subsystem
N,NT,New Technology
N,NTCIP,National Transportation Communications for Intelligent Transportation System Protocol
N,NTE,Network Termination Equipment
N,NTF,No Trouble Found
N,NTFS,New Technology File System
N,NTO,Network Terminal Option
